flight_i,flight_j,gap_slots,slack_available,buffer_i_no_conn,buffer_j_no_conn,buffer_i_conn,buffer_j_conn,constraint_rhs,constraint_lhs,binding,dep_airport_j,airline_j,buf_j_change
10071,9176,1,150,16.97,30.0,16.97,28.03,150,11.07,False,LGA,JetBlue Airways,-1.9699999999999989
10072,10077,1,150,20.25,21.73,20.25,21.73,150,1.48,False,DEN,Southwest Airlines Co.,0.0
10075,9810,1,150,18.59,30.0,18.59,25.72,150,7.12,False,ORD,American Eagle Airlines Inc.,-4.280000000000001
10078,9810,1,150,12.79,30.0,12.79,25.72,150,12.93,False,ORD,American Eagle Airlines Inc.,-4.280000000000001
10081,10077,1,150,16.13,21.73,16.13,21.73,150,5.59,False,DEN,Southwest Airlines Co.,0.0
10090,10086,1,150,17.95,30.0,17.95,27.05,150,9.09,False,MDW,Southwest Airlines Co.,-2.9499999999999993
10091,10077,1,150,15.79,21.73,15.79,21.73,150,5.94,False,DEN,Southwest Airlines Co.,0.0
10092,10086,1,150,16.13,30.0,16.13,27.05,150,10.92,False,MDW,Southwest Airlines Co.,-2.9499999999999993
10111,8865,1,150,27.56,30.0,25.48,19.52,150,-5.97,False,ORD,American Airlines Inc.,-10.48
10132,9660,1,150,23.45,30.0,23.45,15.0,150,-8.45,False,ATL,Delta Air Lines Inc,-15.0
10134,9660,1,150,23.31,30.0,23.31,15.0,150,-8.31,False,ATL,Delta Air Lines Inc,-15.0
10135,10146,1,150,23.76,25.17,23.76,21.24,150,-2.52,False,SLC,Southwest Airlines Co.,-3.9300000000000033
10136,9667,1,150,13.74,30.0,13.74,30.0,150,16.26,False,STL,Delta Air Lines Inc,0.0
10137,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
10140,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
10142,9660,1,150,22.75,30.0,22.75,15.0,150,-7.75,False,ATL,Delta Air Lines Inc,-15.0
10147,10931,1,150,17.6,29.47,17.6,27.4,150,9.8,False,DEN,United Air Lines Inc.,-2.0700000000000003
10148,9587,1,150,21.45,30.0,15.0,30.0,150,15.0,False,LGA,Delta Air Lines Inc,0.0
10163,9164,1,150,24.85,30.0,23.7,21.3,150,-2.41,False,SEA,Alaska Airlines Inc.,-8.7
10168,8860,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MIA,American Airlines Inc.,-15.0
10172,10703,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,United Air Lines Inc.,-15.0
10174,10705,1,150,22.79,30.0,22.79,15.0,150,-7.79,False,CLT,United Air Lines Inc.,-15.0
10175,10617,1,150,22.79,24.63,22.79,15.0,150,-7.79,False,LGA,Skywest Airlines Inc.,-9.629999999999999
10177,10685,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ORD,United Air Lines Inc.,-15.0
10183,10184,1,150,17.93,30.0,15.0,30.0,150,15.0,False,MDW,Southwest Airlines Co.,0.0
10184,10703,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,United Air Lines Inc.,-15.0
10186,10620,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MSP,Skywest Airlines Inc.,-15.0
10187,9630,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,SEA,Delta Air Lines Inc,-15.0
10189,10177,1,150,13.82,30.0,13.82,30.0,150,16.18,False,DEN,Southwest Airlines Co.,0.0
10192,10694,1,150,11.79,30.0,11.79,30.0,150,18.21,False,DEN,United Air Lines Inc.,0.0
10194,10685,1,150,25.1,30.0,25.1,15.0,150,-10.1,False,ORD,United Air Lines Inc.,-15.0
10195,9464,1,150,24.43,30.0,24.43,15.0,150,-9.43,False,ATL,Delta Air Lines Inc,-15.0
10196,10098,1,150,24.18,24.87,20.13,24.87,150,4.73,False,DAL,Southwest Airlines Co.,0.0
10210,9637,1,150,16.81,30.0,16.81,28.19,150,11.38,False,MCO,Delta Air Lines Inc,-1.8099999999999987
10212,9125,1,150,23.33,30.0,23.33,15.0,150,-8.33,False,FLL,Alaska Airlines Inc.,-15.0
10213,10215,1,150,17.5,30.0,15.0,30.0,150,15.0,False,MDW,Southwest Airlines Co.,0.0
10214,10324,1,150,18.71,28.42,18.71,15.0,150,-3.71,False,LGA,Republic Airways,-13.420000000000002
10225,9533,1,150,24.62,30.0,24.62,20.38,150,-4.23,False,BWI,Delta Air Lines Inc,-9.620000000000001
